Nr;Ung�ltige;;;;SPD Erst 2009;SPD Erst 2005;SPD Zweit 2009;SPD Zweit 2005;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;Keine;;;
;Erststimmen;;Zweitstimmen;;SPD;;;;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;KEINE;;;
121;1581;2075;1308;1783;57055;77708;45888;67967;53269;60530;44455;50018;11035;5365;20829;15235;10240;7373;12239;9089;13969;8987;17807;15714;;;;;1614;1209;1227;916;;;598;472;;;525;471;;;915;826;;;;145;;;91;122;508;;148;53;;;;;;;39;54;;;142;142;;;78;85;;;;;;;;;;;;;;;75;;;;;;;;;;;;109;;;;2341;;;;173;;;;404;;;;;;;460;;612
122;1591;1923;1198;1634;52627;74750;43571;68262;37504;41620;34732;38227;9090;4859;13462;8276;12781;7285;14202;8411;7846;4094;9984;7621;;;;;2078;1612;1470;1224;;;410;488;;;599;529;;;852;605;;;;97;;;80;120;;;30;38;;;;;;;17;65;;;102;127;;;56;30;;;;;;;;;;;;;;;182;;;;;;;;;;;;82;;;;2162;;;;202;;;;463;;;;;;264;;;449
123;1847;1992;1379;1643;58984;83905;51110;78600;44021;49192;40418;43864;10678;4654;15219;9589;13805;7397;14614;8479;8603;5608;10299;8303;;;;;2269;1627;1554;1318;;;483;496;;;694;514;;;1010;704;;;;177;191;275;96;175;;;28;24;;;;;;;29;64;;;134;153;;;64;43;;;;;;;;;;;;;;;135;;;;;;;;;;;;83;;;;2285;;;;211;;;;467;;;;;;;;;426
124;1810;1539;1428;1268;64623;83649;50435;75529;31011;37012;27930;32603;8344;3467;10846;7688;;9496;14497;11087;9013;3733;8327;8017;;;;;4199;2206;2018;1640;;;1094;1031;;;573;549;;;818;748;;;;189;1831;616;454;515;;;33;39;;;;;;;21;74;;;112;106;;;67;51;;;;;;;;;;;;;;;108;;;;;;;;;;;;52;;;;2148;;;;158;;;;510;;;;;;;;;644
125;2652;2298;1472;1967;42736;58301;34893;53336;63123;78554;59231;68221;17533;5752;22277;14878;8306;4424;9197;5498;8774;5028;10999;8483;;;;;1226;1075;993;892;;;201;298;;;647;525;;;568;537;;388;;215;;;16;25;;;20;30;;;;;;;20;51;;;67;104;;;128;100;;;;;;;;;;;;;;;62;;;;;;;;;;;;113;;;;2249;;;;227;;;;358;;;;;;;;;356
126;1979;1739;1411;1712;62810;91918;54532;82681;48290;51512;42153;46084;9710;4168;16171;10691;13765;8348;15624;10443;8372;4245;10267;9180;;;;;2391;1678;1738;1297;;;643;707;;;804;637;;1801;1052;1167;;;;140;243;214;128;183;;;34;29;;;;;;;23;86;;;102;112;;;74;53;;;;;;;;;;;;;;;114;;;;;;;;;;1138;;447;;;;2261;;;;182;;;;578;;;;;;;110;;460
127;1804;2102;1596;2146;37324;50880;32344;46950;79254;87251;67056;77380;12521;6232;24230;15517;6385;4386;7222;4877;9706;6070;10793;7991;;;;;1044;785;805;789;;;188;273;;;625;625;;;599;533;;;;99;;;17;23;;;12;21;;;;;;;13;32;;;73;87;;;103;63;;;;;;;;;;;;;;;56;;;;;;;;;;;;94;;;;1823;;;;100;;;;344;;;;;;;;;322
128;1494;1535;1231;1557;37851;55269;31790;48019;73636;78626;61901;68520;14229;6988;24041;16758;7634;4387;8504;5381;10674;6224;13607;10865;;;;;973;919;752;777;;;213;307;;;703;660;;;705;591;;;;75;;;13;20;;;16;17;;;;;;;20;49;;;80;111;;;93;63;;;;;;;;;;;;;;;67;;;;;;;;;;;;163;;;;2008;;;;169;;;;424;;;;;;;;;394
129;1372;1674;1100;1480;58679;70456;43523;62649;61444;64892;51067;55583;11613;5814;20001;14664;9075;4588;9250;5766;;4760;13366;9813;;;;;1129;1128;929;1024;;;204;290;;;686;570;;;555;523;;;;124;;;14;28;;;24;11;;;;;;;15;37;;;56;106;;;63;47;;;;;;;;;;;;;;;71;;;;;;;;;;;;85;;;;2047;;;;169;;;;286;;;;;;;;;381
130;1842;1884;1371;1906;53029;70175;38604;59463;63819;69638;54902;59935;16131;8666;23951;17357;7805;4381;10970;6738;20822;14169;27985;22570;;;;;718;690;574;585;;;175;198;;;416;409;;;567;438;;;;79;;;39;41;;;17;26;;;;;;;19;36;;;89;92;;;78;85;;;;;;;;;;;;;;;38;;;;;;;;;;;;417;;;;3489;;;;107;;;;294;;;;;;235;472;;457
131;1362;1808;1190;1490;49996;63717;37608;58675;75187;84140;62706;70698;16333;6324;23668;17695;12005;5301;9824;6489;;6619;14609;10103;;;;;;1329;977;1102;;;302;384;;;685;700;;;688;564;;;;126;;;8;28;;;14;24;;;;;;;16;38;;;112;112;;;107;66;;;;;;;;;;;;;;;82;;;;;;;;;;;;119;;;;2308;;;;132;;;;443;;;;;;;;;374
132;2696;2227;1809;2479;53509;69739;42512;62042;74149;87555;64808;75313;15138;8125;24698;18364;9909;6365;10855;7270;11924;7422;16035;11909;;;;;;;1202;1228;;;361;634;;;824;886;;;855;693;;;;424;;;25;37;;;24;28;;;;;;;24;65;;;152;201;;;86;50;;;;;;;;;;;;;;;118;;;;;;;;;;625;;379;;;;2639;;;;177;;;;546;;;;;;455;;;465
133;2536;2735;1925;2332;61405;92287;53583;76549;64621;73853;54277;62089;10852;5253;19883;16643;14056;8281;17126;11648;24981;12742;25057;23358;;;;;1784;1563;1453;1365;;;311;374;;;755;688;;;956;827;;860;;763;;;68;81;394;;100;41;;;;;;;45;82;;;132;232;;;67;44;;;;;;;;;;;;;;;120;;;;;;;;;;;;179;;;;3497;;;;190;;;;551;;;;;;;505;;586
134;2348;2868;2091;2842;62644;85908;53661;73666;61244;74103;53025;63671;15549;6476;22018;17147;12090;6894;12887;9056;11091;5319;14121;12003;;;;;;1991;1362;1523;;;603;661;;;856;769;;;942;817;;;;659;;;31;50;;;26;39;;;;;;;23;68;;;189;210;;;56;32;;;;;;;;;;;;;;;90;;;;;;;;;;;;137;;;;2373;;;;215;;;;421;;;;;;;;;440
135;2497;2473;2079;2353;57561;76641;47299;66133;61751;65858;51869;56134;9628;5845;18097;15449;8809;5774;10401;7875;7636;4071;11482;10054;;;;;;1666;917;1274;;;771;743;;1497;820;966;;;713;615;;;;1212;;;21;27;;;22;33;;;;;;;29;67;;;98;152;;;56;27;;;;;;;;;;;;;;;83;;;;;;;;;;;;113;;;;2284;;;;153;;;;397;;;;;;;;;347
136;1996;2583;1756;2827;50688;66665;43628;59814;46447;53607;40545;45987;11879;6165;16627;13358;8492;4800;9059;6183;8431;4990;10270;9016;;;;;;1331;1039;1137;;;358;446;;;779;536;;;728;577;;1318;;1339;;;23;22;;;36;32;;;;;;;10;57;;;95;134;;;66;21;;;;;;;;;;;;;;;94;;;;;;;;;;;;119;;;;2283;;;;139;;;;397;;;;;;;;;279
137;1880;2156;1522;2094;49149;63922;45184;57815;71813;83914;58814;71732;12086;6648;23125;18446;9100;5403;10266;6974;9957;6066;11708;10196;;;;;1502;1612;1151;1402;;;254;438;1586;2107;1037;1405;;;727;607;;879;;986;;;21;38;;;21;28;;;;;;;31;60;;;125;187;;;91;69;;;;;;;;;;;;;;;109;;;;;;;;;;455;;309;;;;2474;;;;132;;;;374;;;;;;;;;317
138;2673;3197;2368;3048;43120;57815;34925;50815;88754;101231;73354;91872;15282;8137;28805;18595;9436;5944;10380;6818;12001;7278;14619;10487;;;;;1757;1695;1340;1464;;;377;485;;2254;1111;1512;;;810;626;;;;722;;;24;49;;;26;29;;;;;;;28;70;;;149;166;;;113;68;;;;;;;;;;;;;;;116;;;;;;;;;;;;184;;;;3478;;;;145;;;;467;;;;;;;;;363
139;2208;2789;2107;3002;63980;87664;49061;76987;49893;58191;45225;50197;11251;5944;18246;14381;12188;6837;14448;9701;8836;4757;13557;10802;;;;;2679;2129;1774;1687;;;937;903;;;673;650;;1988;1231;1414;;;;284;;188;87;152;;;36;31;;;;;;;12;70;;;137;147;;;72;46;;;;;;;;;;;;;;;96;;;;;;;;;;;;79;;;;2407;;;;278;;;;706;;;;;;;;;552
140;1885;2524;1650;2218;54845;76854;46848;69311;40763;45344;35927;38740;13392;7502;16778;13426;11180;6506;12596;8641;11621;7166;15248;12531;;;;;1762;1338;1382;1086;;;307;345;;;673;552;;1858;1103;1217;;;;180;285;220;153;190;;;29;24;;;;;;;42;61;;;126;102;;;61;25;;;;;;;;;;;;;;;108;;;;;;;;;;;;116;;;;2180;;;;194;;;;559;;;;;;285;;;452
141;1727;1910;1430;1815;65810;94985;55224;83998;47030;51120;37763;42992;8578;4071;16390;11304;14741;9497;16442;11873;12775;8786;18094;15809;;;;;2268;1883;1796;1548;;;360;400;;;608;614;;;1171;937;;;;139;259;316;126;204;486;;100;62;;;;;;;49;49;;;126;153;;;57;31;;;;;;;;;;;;;;;101;;;;;;;;;;;;119;;;;2943;;;;214;;;;538;;;;;;;;;633
142;1853;2315;1579;2227;64331;85964;50922;78062;33693;37096;28681;32499;8545;3487;11591;7852;;9738;16261;11279;12393;5058;11074;9369;;;;;2570;1503;1563;1399;2768;1558;1418;1368;;;604;631;;;944;903;;;;174;1175;268;175;245;;;20;38;;;;;;;34;72;;;93;141;;;60;42;;;;;;;;;;;;;;;164;;;;;;;;;;;;81;;;;2074;;;;236;;;;568;;;;;;;;;563
143;3036;2348;1948;2383;60839;88227;48882;75717;40623;45968;36237;39208;12890;4728;17813;12169;14273;7616;16272;9929;16141;8020;20133;16084;;;;;2281;1520;1469;1275;;;231;445;;;521;379;;;960;587;;;;98;288;335;146;233;440;;103;58;;;;;;;22;83;;;128;99;;;63;52;;;;;;;;;;;;;;;838;;;;;;;;;;;;105;;;;3311;;;;201;;;;638;;;;;;;312;;543
144;1556;6744;1258;6511;59141;88135;49813;77452;40622;44293;34006;37827;9387;3907;15993;10869;14819;8271;16104;9954;12292;6088;15553;12555;;;;;2379;1622;1654;1251;;;263;544;;;677;421;;;1000;559;;;;87;;;101;149;;;42;66;;;;;;;25;111;;;149;119;;;53;43;;;;;;;;;;;;;;;663;;;;;;;;;;;;70;;;;2383;;;;275;;;;931;;;;;;922;;;530
145;1605;5694;1412;5473;62638;88471;55439;81333;47702;51073;38646;43052;9418;4957;17773;12580;12451;7076;13842;8786;12737;7934;13756;11567;;;;;2206;1940;1665;1542;;;307;501;;;727;638;;;1045;798;;;;108;;;44;74;;;24;42;;;;;;;18;59;;;144;181;;;52;40;;;;;;;;;;;;;;;207;;;;;;;;;;;;88;;;;2439;;;;183;;;;958;;;;;;;;;472
146;1757;2365;1552;2043;72446;100141;55249;87460;54088;59652;52623;56557;14952;8038;19998;13752;11638;7690;15917;9847;8993;4195;12798;9941;;;;;2981;2026;2113;1705;;;536;722;;;810;758;;;1049;864;;;;173;;;60;66;;;26;32;;;;;;;26;75;;;120;136;;;66;49;;;;;;;;;;;;;;;206;;;;;;;;;;;;88;;;;2889;;;;241;;;;675;;;;;;;366;;457
147;2324;3139;1932;2653;47583;73123;41522;66889;74725;82445;59805;69766;15625;8518;27675;18826;11432;6536;12460;7940;11924;5946;14081;10428;;;;;1800;1534;1324;1282;;;388;633;;;1037;801;;;922;766;;;;212;;;13;29;;;48;50;;;;;;;22;75;;;149;161;;;123;86;;;;;;;;;;;;;;;118;;;;;;;;;;;;106;;;;2612;;;;315;;;;652;;;;;;;;;530
148;2204;2830;1921;2458;40010;56141;36741;54867;77687;94975;63133;76009;13753;4006;24530;15734;9362;4802;10064;5864;7966;3341;9460;6657;;;;;1537;1245;1223;1054;;;306;605;;;910;750;;;809;649;;;;144;;;25;37;;;23;42;;;;;;;26;62;;;146;144;;;121;86;;;;;;;;;;;;;;;96;;;;;;;;;;;;112;;;;2008;;;;206;;;;601;;;;;;;;;355
149;1927;2851;1702;4302;60500;73703;44822;66083;64217;70260;53999;61957;15482;8240;23059;15996;12009;6415;12362;8830;;6097;13385;9757;;;;;2399;1328;1910;1270;;1462;660;1367;;;755;694;;1694;920;1013;;;;1424;;;22;37;;;26;65;;;;;;;22;54;;;152;206;;;88;59;;;;;;;;;;;;;;;67;;;;;;;;;;;;218;;;;2044;;;;200;;;;485;;;;;;;;;448
150;2271;2127;1682;2066;42273;61628;36470;56319;70705;83289;59358;70002;15568;6322;25021;17658;10100;6198;10797;7210;8476;4665;10379;8047;;;;;2064;1823;1564;1414;;;503;805;;;879;700;;;978;774;;;;402;;;40;60;;;20;25;;;;;;;37;65;;;151;210;;;115;61;;;;;;;;;;;;;;;119;;;;;;;;;;;;108;;;;1901;;;;281;;;;673;;;;;;;;;441
151;1941;2464;1733;2196;59521;76312;41755;64123;52751;66020;51494;59238;11740;6038;20616;15321;10431;6617;12450;8360;6207;3387;10589;8370;;;;;2331;2357;1902;1879;;;555;886;;;810;729;2217;;1310;898;;;;339;;;48;39;;;25;49;;;;;;;23;70;;;169;206;;;67;73;;;;;;;;;;;;;;;105;;;;;;;;;;;;105;;;;2181;;;;335;;;;786;;;;;;;;;469
152;1788;2403;1661;2085;15860;35561;16927;34178;44147;49485;38440;41460;10611;6882;13747;11924;27760;30722;27765;32415;4357;2958;4783;4590;;;;;5108;6682;5069;6542;;;381;525;;;;;;;;;;;;271;;;261;174;;1083;583;640;;;;;;;;312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;517;;869
153;1785;2655;1672;2645;24866;47265;23070;45850;42704;42028;38471;37002;11781;7500;16478;11601;34015;34219;32762;32298;8856;5658;11474;9433;;;;;4202;4294;4225;4234;;;340;376;;;;;;;;;;;;357;;;294;176;1691;880;1197;760;;;;;;;;387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1524;;917
154;1719;1924;1523;1901;32841;53181;26133;49115;41101;38545;37304;35098;10505;7141;16983;11512;36117;33881;36431;33969;17345;10787;20998;15038;;;;;3094;3502;3119;3305;;;248;283;;;;;;;;;;;;353;;;376;234;1674;1135;1203;724;;;;;;;;365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2509;;942
155;1904;2205;1786;1948;23471;51962;23354;46534;60969;61178;53735;54180;14799;9710;19240;16160;33044;37850;34826;39813;6745;4025;7533;7115;;;;;5988;7966;5751;7681;;;462;561;;;;;;;;;;;;594;;;375;217;;1366;1032;861;;;;;;;;519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1090;1442;;1327
156;2283;3223;2081;3160;17236;36919;17987;36802;62290;62840;51703;53392;12403;11629;20052;17816;29423;34857;31286;36352;8315;6669;7979;7530;;;;;7050;11199;6875;10757;;;404;474;;;;;;;;;;;;532;;120;327;266;;2190;1208;1228;;;;;;;;414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1103;526;;1379
157;2289;3401;2288;3408;16870;39183;18906;39007;64325;68306;59103;59910;17755;15386;20969;18267;38241;43847;37144;45286;6505;5278;6431;6008;;;;;8363;12120;7597;11348;;;527;836;;;;;;;;;;;;984;;;448;409;;971;1268;836;;;;;;;;619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1905
158;2907;4193;2573;3869;17005;34644;18569;38088;62338;67930;55015;58160;13935;12120;19223;16675;35786;44838;36231;44581;7381;6937;7004;6704;;;;;7842;12148;8035;10938;;;540;676;;;;;;;;;;;;1042;;;413;249;2700;2715;2117;1562;;;;;;;;558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2334
159;2750;4264;2590;4029;16194;33172;16725;33614;62530;68426;56001;58754;15292;12042;19910;18184;28233;32651;28970;33065;6378;5798;7346;6946;;;;;7983;12966;7717;11831;;;412;587;;;;;;;;;;;;559;;;258;230;2150;2073;1621;1255;;;;;;;;462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1748
160;2454;3347;2254;3240;25959;50320;24373;43730;56749;57931;53247;38208;14818;7367;20574;26041;37180;30117;34171;30914;13668;6158;16961;11113;;;;;3851;3776;3980;4011;;;281;196;;;;;;;;;;;;435;;;297;147;1575;939;1563;695;;;;;;;;196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1413;;;895
161;2007;1829;1773;1856;22268;42670;21518;41028;55401;57180;51621;48290;18204;12521;21783;18300;29679;32050;30870;33169;18871;12601;19978;15323;;;;;4389;7214;4501;6777;;;366;458;;;;;;;;;;;;660;436;524;391;390;1597;1981;1569;1160;;;;;;;;398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1436;506;;1483
162;2328;2734;2012;2545;20800;36727;18677;37333;61579;66965;54525;56768;14032;14380;19726;18646;32744;37394;34630;39565;5921;3992;6208;5595;;;;;6320;10081;6200;9864;;;483;779;;;;;;;;;;;;742;;;315;197;;1510;803;1028;;;;;;;;531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1452;;1549
163;2294;3541;2123;3445;27060;44240;22991;41587;45876;43711;41081;37904;12106;10781;17147;15284;37433;41369;38448;41092;8109;5882;9524;8574;;;;;3800;4582;3651;5018;;3093;537;2641;;;;;;;;;;;;858;;;305;224;;1998;813;1063;;;;;;;;251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1361
164;1716;2439;1603;2238;19247;37869;19114;37445;54065;61734;49258;51004;14092;9548;16968;15555;33133;34999;33488;35881;5360;3611;5946;5394;;;;;5229;8198;4975;7781;;1540;463;1571;;;;;;;;;;;;1479;;;281;175;;582;829;577;;;;;;;;340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1172
165;2151;3218;1955;2925;17168;36910;18846;39330;63211;74778;60413;64971;23820;19446;22051;20697;37166;40790;39545;43834;5896;3799;5919;5183;;;;;7930;12769;7876;12427;;;618;930;;;;;;;;;;3293;;3752;;;373;222;;1700;1157;1065;;;;;;;;508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1580;701;;1306
166;2884;4182;2857;4143;20864;44886;21336;45066;55605;60281;51459;51120;13097;9751;17402;16173;40265;44680;39659;43997;6491;4290;6418;6082;;;;;5394;6413;5268;6630;;1267;517;1237;;;;;;;;;;1563;;1830;;;316;213;995;1294;1011;838;;;;;;;;324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;520;;;1064
167;2383;3432;2228;3283;21393;41200;20227;41100;55128;58988;49522;49095;12755;10685;16882;16788;33586;36462;35235;37593;5849;5684;6781;6222;;;;;4908;7808;4772;7557;;;569;982;;;;;;;;;1290;2578;;2101;;;251;219;;;815;349;;;;;;;;365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1099
168;2421;2898;2276;2833;51737;75533;45343;66483;48414;51807;41109;45491;13180;7112;20210;14714;10400;7104;11657;8137;11209;6734;13498;11268;;;;;1756;2096;1393;1706;;;504;873;;;;;;;1121;999;;;;;;;48;83;;;122;91;;;;;;;;130;;;;;;;;;;;;;;;;;;;;;;;115;;;;;;;;;;;;;;;;2175;;;;;;;;;;;;;;311;;;627
169;3801;4050;3513;3834;59621;85117;49114;74140;47643;51470;40134;44773;12188;6619;19820;13884;15453;9718;17656;11414;19246;13119;23320;20086;;;;;1594;1884;1275;1519;;;470;760;;;;;;;1374;1028;;;;;319;480;173;257;;;159;98;;;;;;;;123;;;;;;;;;;;;;;;;;;;;;;;112;;;;;;;;;;;;;;;;3523;;;;;;;;;;;;;;715;;;871
170;4254;4899;3903;4353;53275;75269;45401;65876;45711;49882;39966;43457;12290;5699;17526;12750;11080;6514;12927;8622;7530;4283;10679;9804;;;;;2128;2402;1939;2234;;;422;888;;;;;;;1004;1000;;;;;;;35;67;;;155;164;;;;;;;;217;;;;;;;;;;;;;;;;;;;;;;;95;;;;;;;;;;;;;;;;1948;;;;;;;;;;;;;;;1467;;515
171;3713;3958;3630;3880;56519;76040;47585;68359;47053;51474;40592;43426;13487;7328;19854;14995;11395;7402;12958;8738;9370;6776;12935;10953;;;;;2275;2608;1813;2237;;;556;1183;;;;;;;1256;1110;;;;;;;37;82;;;119;109;;;;;;;;159;;;;;;;;;;;;;;;;;;;;;;;128;;;;;;;;;;;;;;;;2382;;;;;;;;;;;;;;;;;532
172;4391;5175;4275;4920;51712;67136;38139;54957;47322;51653;41356;45080;10964;5423;17410;13246;10857;6826;13181;8758;10366;5685;16884;14231;;;;;1690;1517;1290;1560;;1858;843;1807;;;;;;;1116;924;;;;;;;27;43;;;151;139;;;;;;;;128;;;;;;;;;;;;;;;;;;;;;;;76;;;;;;;;;;;;;;;;2625;;;;;;;;;;;;;;;1102;;485
173;2382;2778;2195;2620;47897;66250;40485;58583;60214;63801;50391;54175;12968;7130;21137;16852;9815;7321;12133;9014;11032;6959;13382;11793;;;;;2922;3648;2236;3053;;;741;1378;;;;;;;1431;1296;;2019;;;;;40;51;;;147;123;;;;;;;;215;;;;;;;;;;;;;;;;;;;;;;;127;;;;;;;;;;;;;;;;2972;;;;;;;;;;;;;;;;;555
174;3104;3638;2730;3678;55331;73793;44222;62080;59441;64468;50276;54529;17928;12205;25687;21076;11399;8081;14605;9887;14140;8976;18853;17023;;;;;2328;2870;1853;2269;;;701;1357;;;;;;;1528;1327;;;;;;;46;65;;;193;128;;;;;;;;171;;;;;;;;;;;;;;;;;;;;;;;158;;;;;;;;;;;;;;;;3962;;;;;;;;;;;;;;1253;;;565
175;3848;4174;3584;4090;41388;54765;34783;55453;86084;72048;70740;78943;17415;5653;30594;19172;11923;4989;13377;8815;12556;5238;14727;11041;;;;;3591;1967;2722;2778;;;1337;2524;;;;;;;1599;1503;;;;;;;58;88;;;221;202;;;;;;;;226;;;;;;;;;;;;;;;;;;;;;;;186;;;;;;;;;;;;;;;;3034;;;;;;;;;;;;;;;39545;;875
176;4081;4624;3660;7209;35257;51838;29758;43215;62748;65756;49902;54583;16255;13207;27979;22741;7522;5614;9229;6655;12976;7409;15877;14373;;;;;1081;1925;1055;1370;862;;807;1091;;;;;2074;;1472;1091;;;;;;;26;42;;;127;107;;;;;;;;116;;;;;;;;;;;;;;;;;;;;;;;74;;;;;;;;;;;;;;;;2552;;;;;;;;;;;;;;;;;655
177;2300;2886;2217;2596;59420;80828;45085;64729;73702;78156;60038;64594;16284;7788;31612;23215;11116;7439;13681;9267;12425;7251;19242;17051;;;;;3792;4176;3426;3695;;;677;1221;;;;;2631;;2069;1566;;;;;;;45;83;;;182;172;;;;;;;;231;;;;;;;;;;;;;;;;;;;;;;;138;;;;;;;;;;;;;;;;3623;;;;;;;;;;;;;;328;1039;;797
178;4122;4468;4002;4524;45127;62690;36352;54870;75224;81513;60875;68569;17463;9347;30530;21553;9066;5502;10853;7013;13141;8924;17210;15110;;;;;1432;2256;1490;1737;1603;;1133;1060;;;;;;;1665;1319;;;;;;;32;45;;;174;167;;;;;;;;160;;;;;;;;;;;;;;;;;;;;;;;106;;;;;;;;;;;;;;;;3199;;;;;;;;;;;;;;;1383;;661
179;3400;4154;2837;3505;42751;60916;30892;45173;53416;56861;40831;44485;12350;6005;23194;18441;9016;5473;11333;7127;10970;6395;18560;18431;;;;;1516;1919;1070;1283;;;1049;1439;;;;;;;1005;933;;;;;;;37;36;588;653;269;270;;;;;;;;87;;;;;;;;;;;;;;;;;;;;;;;125;;;;;;;;;;;;;;;;2839;;;;;;;;;;;;;;444;;;716
180;2374;2616;2221;2417;59413;79621;42154;63392;68704;77996;56834;64688;15523;7767;30368;21477;11985;8420;15139;10063;11572;6938;19324;16816;;;;;2289;3368;2317;2378;1764;;1689;2139;;;;;3287;;2568;1995;;;;;;;41;61;;;220;200;;;;;;;;177;;;;;;;;;;;;;;;;;;;;;;;142;;;;;;;;;;;;;;;;3763;;;;;;;;;;;;;;;;;910
181;4067;4642;4045;4456;36629;50418;29515;43337;72680;80848;56989;63644;18588;8411;33225;26019;7718;4806;8699;5736;15618;11988;18258;15828;;;;;1694;1894;1140;1198;;;701;958;;;;;;;1437;1061;;;;;;;30;35;;;165;114;;;;;;;;111;;;;;;;;;;;;;;;;;;;;;;;110;;;;;;;;;;;;;;;;3157;;;;;;;;;;;;;;;;;710
182;2821;2967;2322;2581;39147;52850;29107;41413;45866;49510;36031;39377;12876;7603;22761;17205;12031;7783;14551;9357;15701;12650;20645;20739;;;;;1327;2408;1266;1636;862;;824;1044;;;;;1879;;1415;1328;;;;;170;;92;108;353;;210;121;;;;;;;;95;;;;;;;;;;;;;;;;;;;;;;;81;;;;;;;;;;;;;;;;3355;;;;;;;;;;;;;;;;;938
183;2217;3059;2091;2502;45074;52063;33243;46265;55027;57539;43089;45133;14336;6591;27031;21432;11998;7188;15397;10029;23403;28925;28225;27117;;;;;1546;1957;1183;1395;;;651;913;;;;;2077;;1503;1287;;;;;;;62;82;416;;190;111;;;;;;;;105;;;;;;;;;;;;;;;;;;;;;;;102;;;;;;;;;;;;;;;;3722;;;;;;;;;;;;;;;;;979
184;2671;3192;2150;2607;44973;62419;35058;52132;45410;48321;37526;40054;10177;4957;18630;14182;9449;5736;11103;6824;12072;8100;15677;14261;;;;;2457;2475;1680;1760;;;1098;1440;;;;;;;1463;1155;;588;;;;;60;91;;;178;109;;;;;;;;171;;;;;;;;;;;;;;;;;;;;;;;109;;;;;;;;;;;;;;;;2772;;;;;;;;;;;;;;482;;;650
185;3099;3240;2765;3007;44542;66517;34376;53436;62281;72653;49267;60127;15843;7990;28409;20946;11594;7193;13813;8578;15243;9325;19863;18135;;;;;2434;2637;1766;1848;;;1068;1275;;;;;2722;;1858;1364;;;;;;;41;65;;;198;128;;;;;;;;143;;;;;;;;;;;;;;;;;;;;;;;150;;;;;;;;;;;;;;;;3835;;;;;;;;;;;;;;229;;;844
186;3969;3953;4213;3379;60581;80289;43605;65693;60536;67498;49924;54617;13553;6584;26539;19442;11213;6955;14869;9452;20963;14557;29727;25435;;;;;1860;2039;1501;1587;;;788;936;;;;;;;1650;1375;;966;;;;359;87;196;;;173;119;;;;;;;;166;;;;;;;;;396;;;;;;;;;;;;;;132;;;;;;;;;;;;;;3866;;4390;;;;;;;;;;;;;;;;;757
187;3467;4169;3050;3641;50797;76617;42756;63338;69191;76696;56677;65039;18409;9421;29697;21458;11574;7275;13403;8810;16215;8882;19379;17382;;;;;2183;2912;1907;2176;1772;;1723;1867;;;;;;;1765;1668;;;;;;;79;80;;;228;160;;;;;;;;193;;;;;;;;;;;;;;1011;;;;;;;;;137;;;;;;;;;;;;;;;;4098;;;;;;;;;;;;;;1281;;;851
