Nr;Ung�ltige;;;;SPD Erst 2009;SPD Erst 2005;SPD Zweit 2009;SPD Zweit 2005;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;Keine;;;
;Erststimmen;;Zweitstimmen;;SPD;;;;CDU;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;NPD;;;;REP;;;;FAMILIE;;;;Die Tierschutzpartei;;;;PBC;;;;MLPD;;;;BüSo;;;;BP;;;;PSG;;;;Volksabstimmung;;;;ZENTRUM;;;;ADM;;;;CM;;;;DKP;;;;DVU;;;;DIE VIOLETTEN;;;;FWD;;;;ödp;;;;PIRATEN;;;;RRP;;;;RENTNER;;;;Freie Union;;;;KEINE;;;
24;2126;2053;1686;1896;54965;79967;42554;65184;46303;53810;41423;48559;10727;5105;16709;12100;14430;7632;16358;9827;11728;7330;16484;16776;;;;;2111;2352;1795;2251;;;;;;;;;;;;1240;;460;;;;;63;85;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;280;;;;;;;;;;;;402;;;;3543;;;;;;;;1517;;;;;;;;;586
25;2355;2428;1991;2476;57876;82618;50682;79448;33706;38467;32155;35368;9314;4441;13619;8800;13213;5516;14978;6357;14451;8748;13641;8868;;;;;1886;1660;1712;1606;;;;;;;;;;;1042;815;;;;270;;;32;80;;;;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;;;;;;;;;;;;123;;;;2015;;;;642;;;;;;;;;;;360;;552
26;2439;2689;2121;2273;47481;69621;44913;72167;73405;82559;63545;71136;15470;8246;20731;13634;12062;5742;14219;7137;11981;6246;12222;7242;;;;;1862;1920;1707;1915;;;;;;;;;;;1149;893;;979;;724;;;28;33;;;;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152;;;;;;;;;;;;304;;;;2899;;;;648;;;;;;;;;;;;;491
27;2392;2413;2136;2295;51851;72454;40610;67133;42211;48472;38728;43900;12283;7187;19204;12846;12055;6004;13572;6962;9794;5480;12009;8409;;;;;1911;2413;1570;2146;;;;;;;;;;;1277;1052;;;;160;;;85;163;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106;;;;;;;;;;;;112;;;;2452;;;;1071;;;;;;;;;;;1623;;1119
28;2630;2938;1939;2589;49020;73355;42551;72316;55610;58364;44090;46510;13840;6341;22917;15308;14080;7963;15244;8583;21651;16369;24171;18185;;;;;1548;1595;1345;1592;;;;;;;;;;;1349;915;;;;186;;;53;81;;;;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;124;;;;;;;;;;;;192;;;;4000;;707;;821;;;;;;;;;;;;;627
29;1891;2219;1490;1841;55374;86321;45895;79652;56273;59327;49810;49561;16163;8741;23109;17836;13751;6856;15906;8398;14446;8209;16731;12405;;;;;2346;2123;2009;2142;;;;;;;;;;;1519;1099;;;;206;;;49;74;;;;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;171;;;;;;;;;;;;179;;;;2879;;1261;;1506;;;;;;;;;;;861;;961
30;1970;2882;1821;2912;50481;71891;40643;64724;51654;57968;46707;50370;10426;5438;17146;12349;10307;4078;11920;6447;8379;4962;11885;8966;;;;;1828;2372;1567;2011;;;;;;;;;;;1072;986;;;;173;;;28;45;;;;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;225;;;;;;;;;;;;173;;;;1938;;;;945;;;;;;;;;;847;;;764
31;1902;2087;1575;1885;46851;67942;37784;59776;62035;64002;51303;54446;9946;6488;20056;14467;9096;1551;10541;5701;9409;5918;14253;10658;;;;;2349;2692;2061;2139;;;;;;;;;;;999;842;;;;226;;;43;45;307;;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140;;;;;;;;;;;;170;;;;2503;;;;837;;;;;;;;;;431;;;707
32;1690;2048;1424;1554;43503;61236;39085;60408;91378;98882;79052;86520;13278;6167;23749;15042;8195;4315;9169;4897;9819;5848;11357;8212;;;;;1130;1287;1014;1237;;;;;;;;;;;853;761;;;;185;;;24;30;;;;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;;;;;;;;;;;;158;;;;2347;;;;642;;;;;;;;;;;;;440
33;1775;1981;1550;1926;28053;41988;24358;40084;91686;101777;80355;90513;12700;6177;23001;16071;6927;3018;7518;3602;6575;3723;7827;5227;;;;;1286;1248;1132;1219;;;;;;;;;;;766;613;;;;507;;;35;35;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;;;;;;;;;;;;108;;;;1953;;;;372;;;;;;;;;;;;;408
