id;name;bundesland;wahlberechtigte;;waehler;
208;Ludwigshafen/Frankenthal;7;217445;216306;153455;169870
209;Neustadt - Speyer;7;220974;219704;164052;177506
210;Kaiserslautern;7;235030;234939;163350;179680
211;Pirmasens;7;184220;187595;131065;146241
212;S�dpfalz;7;214215;209895;156149;167742
213;Alt�tting;9;166775;166212;112507;124868
214;Erding - Ebersberg;9;185961;179381;140360;146284
215;Freising;9;205531;197541;149717;157045
216;F�rstenfeldbruck;9;249131;242940;190298;199138
217;Ingolstadt;9;252615;245899;176318;187323
218;M�nchen-Nord;9;220785;202793;158045;152262
219;M�nchen-Ost;9;231017;219413;170334;170380
220;M�nchen-S�d;9;211617;200500;155666;154386
221;M�nchen-West/Mitte;9;231682;217460;173138;168905
222;M�nchen-Land;9;233952;226705;185115;189295
223;Rosenheim;9;226483;222020;161912;173077
224;Starnberg;9;251039;247824;190092;202092
225;Traunstein;9;205115;202947;142584;157644
226;Weilheim;9;249153;244362;183832;195607
227;Deggendorf;9;154767;154154;94922;109196
228;Landshut;9;246833;242102;171065;186087
229;Passau;9;186068;184728;118249;132420
230;Rottal-Inn;9;162109;161553;104487;119605
231;Straubing;9;173068;172616;112708;127264
232;Amberg;9;214616;213156;153659;166438
233;Regensburg;9;243083;236419;171002;180592
234;Schwandorf;9;216044;215477;143939;160516
235;Weiden;9;172011;172807;124026;134636
236;Bamberg;9;177197;173588;129049;135999
237;Bayreuth;9;164344;165436;117290;128398
238;Coburg;9;162834;164542;115851;128079
239;Hof;9;180735;186643;126096;141563
240;Kulmbach;9;173473;173566;128501;137658
241;Ansbach;9;243953;242756;171989;187535
242;Erlangen;9;177261;172655;135845;139877
243;F�rth;9;249703;245961;179941;190859
244;N�rnberg-Nord;9;189738;183712;135154;139713
245;N�rnberg-S�d;9;184672;183616;124786;137634
246;Roth;9;224946;223294;171076;183237
247;Aschaffenburg;9;183872;182224;135005;144283
248;Bad Kissingen;9;219607;220582;162052;175290
249;Main-Spessart;9;199081;197707;147482;158422
250;Schweinfurt;9;200116;198245;146050;156430
251;W�rzburg;9;225807;222087;170031;178409
252;Augsburg-Stadt;9;206196;203162;135957;149458
253;Augsburg-Land;9;240672;236590;177024;191577
254;Donau-Ries;9;189097;187610;133619;147222
255;Neu-Ulm;9;235775;232818;164678;179115
256;Oberallg�u;9;221708;217158;158857;169643
257;Ostallg�u;9;242341;239599;170224;186381
258;Stuttgart I;8;184454;179288;142504;145294
259;Stuttgart II;8;181088;179622;129259;138583
260;B�blingen;8;244919;241166;185176;196769
261;Esslingen;8;165210;163579;125558;133889
262;N�rtingen;8;204091;201242;154949;164944
263;G�ppingen;8;180442;180833;129901;142455
264;Waiblingen;8;220220;217671;164521;176569
265;Ludwigsburg;8;206805;203269;156053;165170
266;Neckar-Zaber;8;224090;218571;170674;179071
267;Heilbronn;8;241035;237705;168927;183367
268;Schw�bisch Hall - Hohenlohe;8;223234;220164;154351;165515
269;Backnang - Schw�bisch Gm�nd;8;176381;175509;126601;136784
270;Aalen - Heidenheim;8;224418;224632;159936;174933
271;Karlsruhe-Stadt;8;201833;197356;143521;150150
272;Karlsruhe-Land;8;208654;205134;155522;165906
273;Rastatt;8;208664;207276;146160;158399
274;Heidelberg;8;211807;208852;162920;170915
275;Mannheim;8;198437;198518;134143;146286
276;Odenwald - Tauber;8;215910;216051;153296;168380
277;Rhein-Neckar;8;195971;193332;144215;155883
278;Bruchsal - Schwetzingen;8;194304;190693;141401;152375
279;Pforzheim;8;220877;218955;155907;169442
280;Calw;8;198923;198594;142812;153953
281;Freiburg;8;210636;205189;157681;165010
282;L�rrach - M�llheim;8;225703;220779;156692;169552
283;Emmendingen - Lahr;8;213013;209138;149482;160982
284;Offenburg;8;204619;201410;141835;151908
285;Rottweil - Tuttlingen;8;200726;199140;141391;153257
286;Schwarzwald-Baar;8;167458;167645;117355;129388
287;Konstanz;8;197671;193465;140167;150629
288;Waldshut;8;177784;176676;125418;136437
289;Reutlingen;8;198466;195834;145837;156407
290;T�bingen;8;189559;182904;143896;148011
291;Ulm;8;218867;214908;161673;171930
292;Biberach;8;162508;158342;117289;125405
293;Bodensee;8;167789;163240;122655;129793
294;Ravensburg;8;181362;177314;130128;138293
295;Zollernalb - Sigmaringen;8;185890;185197;130436;141883
296;Saarbr�cken;10;207292;209832;146713;161396
297;Saarlouis;10;214924;216527;159639;173032
298;St. Wendel;10;184896;187024;142795;153996
299;Homburg;10;201442;205095;147047;161665
